Startup_ID,Startup_Name,Industry,Funding_Stage,Funding_Amount_USD,Funding_Date,Country,Investor_Type,Employee_Size,Valuation_USD
1,Startup_1,AgriTech,Series A,35456607,2025-02-20,UK,Private Equity,500+,238342959
2,Startup_2,AI,Series A,19012212,2016-08-19,Canada,Angel,500+,262140819
3,Startup_3,E-commerce,IPO,28085403,2018-03-13,Singapore,Angel,1-10,60171931
4,Startup_4,AgriTech,Series B,23208423,2021-02-19,India,Corporate,500+,271940772
5,Startup_5,EdTech,Series A,26394217,2020-07-19,Germany,Private Equity,1-10,402638557
6,Startup_6,CleanTech,Series C,43512163,2016-07-31,USA,Angel,51-200,493226489
7,Startup_7,E-commerce,Series A,47840728,2025-05-01,Australia,Private Equity,51-200,368896185
8,Startup_8,E-commerce,Series C,28963510,2023-01-17,Australia,Corporate,51-200,112643036
9,Startup_9,AgriTech,Series A,47902062,2018-08-14,India,Angel,1-10,396713042
10,Startup_10,HealthTech,Series C,34826082,2016-01-08,Singapore,Angel,1-10,239402468
11,Startup_11,EdTech,Series A,22812643,2023-06-14,UK,Angel,500+,156055895
12,Startup_12,AgriTech,Series A,33628454,2018-12-27,UK,Angel,500+,129362385
13,Startup_13,EdTech,Seed,46271802,2018-06-09,Singapore,VC,500+,151813148
14,Startup_14,EdTech,Series C,6225002,2018-01-18,Germany,Private Equity,11-50,177468099
15,Startup_15,CleanTech,Series C,20581028,2019-09-26,India,Private Equity,1-10,20568631
16,Startup_16,E-commerce,Series C,29813371,2021-10-14,Germany,Private Equity,51-200,87890109
17,Startup_17,AI,Pre-Seed,47870912,2018-03-23,UK,Corporate,51-200,395302116
18,Startup_18,CleanTech,Series A,446742,2019-05-19,Australia,VC,11-50,39277447
19,Startup_19,CleanTech,Series C,43348121,2019-11-16,UK,Private Equity,11-50,410045775
20,Startup_20,EdTech,IPO,7913550,2024-01-27,Canada,Private Equity,51-200,216418741
21,Startup_21,SaaS,Pre-Seed,20957606,2025-02-06,UK,Angel,1-10,212725440
22,Startup_22,E-commerce,Seed,33380574,2017-04-23,USA,Angel,51-200,9177316
23,Startup_23,HealthTech,Series C,20002477,2020-01-30,Canada,Angel,51-200,153087641
24,Startup_24,CleanTech,Series C,47467953,2024-01-24,Germany,Private Equity,11-50,262416383
25,Startup_25,AI,Pre-Seed,30608092,2024-12-27,UK,Angel,11-50,301141918
26,Startup_26,SaaS,Series A,2882003,2019-05-07,Singapore,Private Equity,500+,414649041
27,Startup_27,SaaS,IPO,31342215,2020-03-30,USA,Corporate,11-50,322121359
28,Startup_28,HealthTech,Seed,1085670,2018-09-08,Canada,Corporate,51-200,265945782
29,Startup_29,CleanTech,Series C,25316784,2024-03-21,USA,Accelerator,500+,392780701
30,Startup_30,AI,Series A,22652849,2019-10-26,Canada,VC,51-200,154838057
31,Startup_31,E-commerce,IPO,40043633,2018-12-13,Canada,Angel,1-10,238878019
32,Startup_32,FinTech,IPO,1202738,2022-08-04,Canada,Angel,1-10,466060817
33,Startup_33,AI,Seed,34783712,2016-05-07,Singapore,VC,11-50,228276144
34,Startup_34,HealthTech,Series B,24322027,2019-06-29,Germany,VC,500+,402194772
35,Startup_35,SaaS,IPO,8916573,2019-09-06,Canada,Accelerator,201-500,489672186
36,Startup_36,E-commerce,Series B,11189695,2022-04-26,Canada,VC,1-10,239835033
37,Startup_37,AI,IPO,38443674,2016-08-31,USA,Private Equity,1-10,6802316
38,Startup_38,FinTech,Seed,13025800,2021-12-01,Canada,Angel,1-10,62824999
39,Startup_39,FinTech,Pre-Seed,13375004,2020-02-05,Germany,VC,1-10,14190471
40,Startup_40,EdTech,Seed,49162440,2025-10-06,Australia,Private Equity,11-50,117221980
41,Startup_41,EdTech,Seed,41535761,2023-09-13,Singapore,VC,500+,207886617
42,Startup_42,AgriTech,Pre-Seed,34010929,2025-05-11,Singapore,Private Equity,1-10,158693265
43,Startup_43,HealthTech,Pre-Seed,12892100,2019-05-01,USA,Corporate,11-50,481521445
44,Startup_44,CleanTech,Series A,11829676,2017-08-24,Australia,Private Equity,500+,484387558
45,Startup_45,AI,IPO,10568308,2016-03-01,Canada,Accelerator,500+,472266233
46,Startup_46,AI,Series A,34615835,2018-11-22,USA,Private Equity,201-500,159896688
47,Startup_47,CleanTech,Pre-Seed,14049609,2018-08-16,Singapore,VC,51-200,301552708
48,Startup_48,AgriTech,Series B,22745100,2016-03-18,Germany,Corporate,1-10,403796949
49,Startup_49,SaaS,Series B,46412075,2016-06-16,USA,Corporate,11-50,177232543
50,Startup_50,SaaS,Seed,39002258,2022-11-20,Germany,Private Equity,500+,139152310
51,Startup_51,AgriTech,Series C,41483033,2025-10-12,Australia,VC,201-500,74356602
52,Startup_52,SaaS,Seed,13619203,2022-03-21,Australia,Corporate,51-200,289728856
53,Startup_53,EdTech,Seed,29825633,2020-08-22,UK,Private Equity,500+,186697682
54,Startup_54,AI,Series C,22321156,2016-10-06,Canada,Private Equity,500+,246623879
55,Startup_55,AgriTech,IPO,18274062,2018-01-25,Germany,Private Equity,1-10,18900953
56,Startup_56,AI,Pre-Seed,25315844,2021-05-14,Canada,Corporate,51-200,52270130
57,Startup_57,CleanTech,Series B,21653316,2023-01-07,Australia,Angel,51-200,309150266
58,Startup_58,FinTech,Seed,41450090,2023-05-26,Germany,VC,11-50,143056248
59,Startup_59,EdTech,Series C,46254190,2017-03-04,India,Accelerator,201-500,91088007
60,Startup_60,E-commerce,Series A,8881593,2021-07-16,Australia,Accelerator,11-50,377601464
61,Startup_61,EdTech,Seed,43531349,2022-06-27,India,VC,201-500,176127028
62,Startup_62,AgriTech,Series B,21397850,2016-01-21,India,Angel,11-50,303418394
63,Startup_63,E-commerce,Pre-Seed,30200817,2022-11-06,Australia,VC,201-500,150788024
64,Startup_64,FinTech,Seed,24582947,2017-06-24,Germany,Private Equity,1-10,60964124
65,Startup_65,AgriTech,Seed,4795150,2025-11-18,Singapore,VC,201-500,4425042
66,Startup_66,HealthTech,IPO,42560516,2018-12-21,Singapore,VC,11-50,271856614
67,Startup_67,AI,Series C,48952868,2018-07-28,Canada,Corporate,51-200,109012674
68,Startup_68,FinTech,Series A,27870500,2023-01-18,India,Accelerator,500+,437669605
69,Startup_69,AI,Series A,36012130,2024-01-31,Canada,Accelerator,201-500,317548551
70,Startup_70,SaaS,Pre-Seed,23475283,2020-11-27,Germany,Private Equity,201-500,98557265
71,Startup_71,HealthTech,Series B,37961884,2024-08-08,Canada,Private Equity,51-200,236379694
72,Startup_72,HealthTech,Pre-Seed,16943043,2019-05-07,Canada,Corporate,1-10,323078199
73,Startup_73,FinTech,Seed,16247020,2023-06-18,India,Private Equity,11-50,26778832
74,Startup_74,HealthTech,Seed,22668648,2025-10-08,Australia,Angel,1-10,380852451
75,Startup_75,E-commerce,Series A,46991111,2017-09-08,Singapore,Corporate,201-500,92061862
76,Startup_76,HealthTech,Series B,31236764,2019-11-11,USA,Corporate,201-500,263108861
77,Startup_77,AI,Series C,48852557,2021-09-09,UK,VC,1-10,175578143
78,Startup_78,AI,Series B,23826190,2021-08-09,Germany,VC,11-50,122003184
79,Startup_79,AgriTech,Seed,42283754,2024-07-22,Germany,Angel,201-500,121578581
80,Startup_80,AI,Series C,12720907,2017-11-28,Germany,Corporate,201-500,31555481
81,Startup_81,AgriTech,Series B,2187810,2019-03-24,UK,Corporate,1-10,26866373
82,Startup_82,AI,Series B,45521552,2023-08-18,USA,VC,500+,24835581
83,Startup_83,E-commerce,Series C,2467490,2021-10-07,Singapore,Accelerator,51-200,146919116
84,Startup_84,CleanTech,Seed,43240195,2023-04-05,Canada,Accelerator,201-500,403923974
85,Startup_85,AgriTech,Series B,6715472,2018-03-04,Singapore,VC,11-50,198788904
86,Startup_86,EdTech,Series C,30361591,2019-07-08,Germany,Private Equity,500+,231911894
87,Startup_87,SaaS,IPO,36147872,2025-07-07,Canada,Corporate,1-10,489503187
88,Startup_88,FinTech,IPO,25916772,2019-06-19,India,Angel,1-10,126454892
89,Startup_89,AI,Seed,24076709,2022-04-07,Singapore,Accelerator,11-50,272035854
90,Startup_90,HealthTech,Series C,8285022,2021-02-17,India,Private Equity,500+,367121360
91,Startup_91,CleanTech,IPO,49585025,2017-07-17,India,Corporate,11-50,309157764
92,Startup_92,AI,Series C,41661567,2016-08-12,Australia,Private Equity,201-500,482451286
93,Startup_93,HealthTech,Series B,21165295,2016-05-19,Singapore,Corporate,500+,111151218
94,Startup_94,SaaS,Seed,9018387,2016-03-13,Germany,Corporate,51-200,480549349
95,Startup_95,SaaS,IPO,23388859,2020-05-06,UK,VC,51-200,329826155
96,Startup_96,SaaS,Series B,32026223,2023-12-05,Germany,VC,11-50,272108142
97,Startup_97,HealthTech,Pre-Seed,10251475,2024-05-03,India,Angel,51-200,58997006
98,Startup_98,AI,Pre-Seed,19254852,2021-01-16,India,Angel,11-50,490696226
99,Startup_99,SaaS,Seed,21418672,2025-08-05,Germany,Private Equity,201-500,317102819
100,Startup_100,E-commerce,IPO,37305622,2018-05-29,UK,VC,201-500,417931780
101,Startup_101,AgriTech,IPO,33955344,2017-10-09,UK,Corporate,11-50,447967429
102,Startup_102,HealthTech,IPO,35565215,2016-10-04,Australia,VC,201-500,475217253
103,Startup_103,HealthTech,Series C,19474565,2022-02-18,Canada,Corporate,51-200,157049808
104,Startup_104,AI,Series B,47280078,2016-02-06,USA,VC,201-500,96506107
105,Startup_105,HealthTech,IPO,27976702,2020-11-01,India,Corporate,51-200,299945383
106,Startup_106,HealthTech,Series B,14946261,2023-01-26,UK,Private Equity,51-200,395018642
107,Startup_107,SaaS,Seed,29071249,2025-09-14,Singapore,VC,1-10,178372883
108,Startup_108,AI,IPO,39758040,2017-12-24,Australia,Accelerator,201-500,385927831
109,Startup_109,SaaS,Seed,7187219,2020-11-18,India,Accelerator,201-500,246128382
110,Startup_110,AgriTech,IPO,29147324,2025-10-30,USA,Corporate,11-50,245427572
111,Startup_111,CleanTech,Pre-Seed,10466885,2024-12-13,Singapore,Private Equity,11-50,279671701
112,Startup_112,AgriTech,Series A,17554618,2018-04-17,India,Corporate,500+,480536908
113,Startup_113,CleanTech,Seed,12028476,2025-06-11,Australia,Private Equity,51-200,253247932
114,Startup_114,SaaS,IPO,39269370,2017-03-15,Australia,Angel,1-10,262042350
115,Startup_115,AgriTech,Series A,42320566,2025-08-13,UK,VC,51-200,451226704
116,Startup_116,AI,Seed,43038184,2022-12-06,Canada,Private Equity,201-500,417891255
117,Startup_117,FinTech,Series C,38921631,2020-07-05,Germany,Corporate,500+,277628212
118,Startup_118,SaaS,IPO,25489138,2020-12-05,Australia,Angel,51-200,277751824
119,Startup_119,CleanTech,Series C,30054368,2024-03-20,Singapore,Corporate,500+,37773238
120,Startup_120,E-commerce,Pre-Seed,15334497,2016-10-01,Germany,Accelerator,51-200,378697726
121,Startup_121,CleanTech,IPO,22856523,2025-07-06,UK,Accelerator,201-500,222133121
122,Startup_122,E-commerce,Pre-Seed,10379242,2024-06-07,UK,VC,201-500,430245435
123,Startup_123,HealthTech,Series A,44004062,2016-03-01,Singapore,VC,51-200,100703807
124,Startup_124,AgriTech,Seed,11803979,2018-11-03,USA,Angel,1-10,242769973
125,Startup_125,E-commerce,Series B,28115616,2019-02-22,Australia,Accelerator,201-500,34381917
